ticker,company,target_from,target_to,action,rating_from,rating_to,time,rating_from_score,rating_to_score,rating_delta,rating_magnitude,target_delta,target_growth,year,month,day,weekday,weekday_num,quarter
CECO,CECO Environmental,44.0,52.0,target raised by,Buy,Buy,2025-08-22 00:30:05,2.0,2.0,0.0,0.0,8.0,0.18181818181818182,2025,8,22,Friday,4,3
BLND,Blend Labs,5.25,5.25,reiterated by,Buy,Buy,2025-08-25 00:30:04,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,25,Monday,0,3
FLOC,Flowco,28.0,26.0,target lowered by,Outperform,Outperform,2025-08-07 00:30:07,2.0,2.0,0.0,0.0,-2.0,-0.07142857142857142,2025,8,7,Thursday,3,3
VYGR,Voyager Therapeutics,30.0,30.0,reiterated by,Buy,Buy,2025-09-16 00:30:09,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,16,Tuesday,1,3
BCBP,"BCB Bancorp, Inc. (NJ)",9.0,9.5,target raised by,Neutral,Neutral,2025-07-31 00:30:08,0.0,0.0,0.0,0.0,0.5,0.05555555555555555,2025,7,31,Thursday,3,3
DEFT,DeFi Technologies,5.5,5.5,reiterated by,Buy,Buy,2025-09-28 00:30:11,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,28,Sunday,6,3
LAMR,Lamar Advertising,122.0,119.0,target lowered by,Equal Weight,Equal Weight,2025-08-12 00:30:05,0.0,0.0,0.0,0.0,-3.0,-0.02459016393442623,2025,8,12,Tuesday,1,3
TRIN,Trinity Capital,13.0,13.5,reiterated by,Underweight,Underweight,2025-08-13 00:30:07,-2.0,-2.0,0.0,0.0,0.5,0.038461538461538464,2025,8,13,Wednesday,2,3
AMP,Ameriprise Financial,525.0,525.0,initiated by,Market Perform,Market Perform,2025-10-06 00:30:13,0.0,0.0,0.0,0.0,0.0,0.0,2025,10,6,Monday,0,4
RY,Royal Bank Of Canada,140.0,162.0,target raised by,Buy,Buy,2025-08-31 00:30:05,2.0,2.0,0.0,0.0,22.0,0.15714285714285714,2025,8,31,Sunday,6,3
MODG,Topgolf Callaway Brands,7.0,9.5,reiterated by,Neutral,Neutral,2025-08-12 00:30:05,0.0,0.0,0.0,0.0,2.5,0.35714285714285715,2025,8,12,Tuesday,1,3
ETR,Entergy,105.0,105.0,upgraded by,Sector Perform,Outperform,2025-10-06 00:30:12,,2.0,,,0.0,0.0,2025,10,6,Monday,0,4
HONE,HarborOne Bancorp,12.0,13.0,target raised by,Neutral,Neutral,2025-07-28 00:30:06,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,2025,7,28,Monday,0,3
ABBV,AbbVie,220.0,251.0,target raised by,Neutral,Neutral,2025-10-06 00:30:13,0.0,0.0,0.0,0.0,31.0,0.1409090909090909,2025,10,6,Monday,0,4
PFG,Principal Financial Group,75.0,77.0,target set by,Underweight,Underweight,2025-08-19 00:30:05,-2.0,-2.0,0.0,0.0,2.0,0.02666666666666667,2025,8,19,Tuesday,1,3
LAZ,Lazard,60.0,58.0,target lowered by,Outperform,Outperform,2025-10-25 00:30:05,2.0,2.0,0.0,0.0,-2.0,-0.03333333333333333,2025,10,25,Saturday,5,4
NBHC,National Bank,46.0,46.0,upgraded by,Market Perform,Outperform,2025-09-19 00:30:05,0.0,2.0,2.0,2.0,0.0,0.0,2025,9,19,Friday,4,3
TRIP,TripAdvisor,14.0,14.0,initiated by,Underperform,Underperform,2025-10-01 00:30:06,-3.0,-3.0,0.0,0.0,0.0,0.0,2025,10,1,Wednesday,2,4
NRDS,NerdWallet,19.0,17.0,target lowered by,Buy,Buy,2025-08-12 00:30:05,2.0,2.0,0.0,0.0,-2.0,-0.10526315789473684,2025,8,12,Tuesday,1,3
TDG,Transdigm Group,0.0,0.0,initiated by,Outperform,Outperform,2025-10-01 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,1,Wednesday,2,4
BOX,BOX,42.0,36.0,initiated by,Buy,Neutral,2025-09-19 00:30:05,2.0,0.0,-2.0,2.0,-6.0,-0.14285714285714285,2025,9,19,Friday,4,3
ORGO,Organogenesis,7.0,7.0,reiterated by,Buy,Buy,2025-09-28 00:30:11,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,28,Sunday,6,3
SNV,Synovus Financial,65.0,58.0,target lowered by,Overweight,Overweight,2025-10-02 00:30:09,2.0,2.0,0.0,0.0,-7.0,-0.1076923076923077,2025,10,2,Thursday,3,4
CE,Celanese,47.0,53.0,upgraded by,Neutral,Buy,2025-10-03 00:30:06,0.0,2.0,2.0,2.0,6.0,0.1276595744680851,2025,10,3,Friday,4,4
PII,Polaris,35.0,60.0,upgraded by,Sell,Neutral,2025-10-02 00:30:09,-2.0,0.0,2.0,2.0,25.0,0.7142857142857143,2025,10,2,Thursday,3,4
RYTM,Rhythm Pharmaceuticals,100.0,110.0,target raised by,Buy,Buy,2025-09-30 00:30:08,2.0,2.0,0.0,0.0,10.0,0.1,2025,9,30,Tuesday,1,3
RGLD,Royal Gold,194.0,246.0,target raised by,Sector Outperform,Sector Outperform,2025-10-24 00:30:05,2.0,2.0,0.0,0.0,52.0,0.26804123711340205,2025,10,24,Friday,4,4
CNTB,Connect Biopharma,7.0,7.0,reiterated by,Buy,Buy,2025-08-14 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,14,Thursday,3,3
AEYE,Audioeye,20.0,19.0,target lowered by,Buy,Buy,2025-08-09 00:30:09,2.0,2.0,0.0,0.0,-1.0,-0.05,2025,8,9,Saturday,5,3
