ticker,company,target_from,target_to,action,rating_from,rating_to,time,rating_from_score,rating_to_score,rating_delta,rating_magnitude,target_delta,target_growth,year,month,day,weekday,weekday_num,quarter,date,rsi,stoch,willr,roc,mom,rvi,cci,ema,sma,wma,hma,tema,dema,vwma,kama,swma,fwma,hwma,zlma,macd,macd_signal,macd_hist,adx,aroon,psar,supertrend,atr,natr,mfi,obv,ad,cmf,vwap,pvt,eom,nvi
CECO,CECO Environmental,44.0,52.0,target raised by,Buy,Buy,2025-08-22 00:30:05,2.0,2.0,0.0,0.0,8.0,0.1818181818181818,2025,8,22,Friday,4,3,2025-08-22 00:30:05,71.61697404132951,79.11458045613546,-6.099849174904226,9.219210582576256,4.049999237060547,51.80092878541416,-1755.492381159856,43.462500046628925,44.515499877929685,45.46766668047224,46.21153143234582,48.05311691292999,47.83034591650318,44.14063612382379,45.30588620391515,45.5576670328776,46.60866329617448,50.10458895458715,47.21783273534352,3.1349077262818668,3.3875008873625694,-0.2525931610807026,56.80161084591167,28.57142857142857,43.57156792426087,41.31799410157482,1.9421776278817895,4.149941582546936,44.46363562469064,3716700.0,6374448.457326807,0.4861121029642102,47.51000086466471,34186458.914290845,230.11787098133715,1010.4703262372732
BLND,Blend Labs,5.25,5.25,reiterated by,Buy,Buy,2025-08-25 00:30:04,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,25,Monday,0,3,2025-08-25 00:30:04,57.63376077647809,82.20391688580415,-17.82609957602961,26.950354909736163,0.7599999904632568,46.72213068737055,-724.4562660827511,3.2813994778013007,3.261999976634979,3.215285696302142,3.1430865769778493,3.2634708386449622,3.229644174440841,3.1663596023312603,3.324795182795357,3.0806666453679403,3.446181805425953,3.114310060342968,3.206257242513662,-0.0239662918431871,-0.0891834605097192,0.0652171686665321,24.36299723142901,21.42857142857143,2.6579999923706055,2.891551818130607,0.227295740103955,6.923047085895811,47.773880876457014,13644400.0,-3952179.987742981,-0.0279342349187202,3.619999965031942,-74607931.95591716,-0.0616658991845895,1003.2915291369172
FLOC,Flowco,28.0,26.0,target lowered by,Outperform,Outperform,2025-08-07 00:30:07,2.0,2.0,0.0,0.0,-2.0,-0.0714285714285714,2025,8,7,Thursday,3,3,2025-08-07 00:30:07,32.498182419684085,11.306123734520636,-96.32652507170728,-19.837230227839072,-3.8807992935180664,24.63193122961905,-1224.5593956909115,17.912189297432498,18.256675863265993,18.043445096697127,17.237250295779404,17.04926745233047,17.522390002065528,17.807700596266855,17.467274559001925,18.046382999420167,16.530531673280617,17.446587025527585,17.263353906429973,-0.4025522889630544,-0.016457105837308,-0.3860951831257463,22.15063285877213,92.85714285714286,18.381181365139835,19.248244027762272,0.9860271868243764,6.891846263763975,31.875945718588607,-3657300.0,-3514188.551573234,-0.20376348452555,15.868159658092146,-20760675.181972142,-63.92423153112095,1007.7201433411389
VYGR,Voyager Therapeutics,30.0,30.0,reiterated by,Buy,Buy,2025-09-16 00:30:09,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,16,Tuesday,1,3,2025-09-16 00:30:09,63.30553318881593,75.22279958598936,-21.848753301545532,18.71508632883863,0.6700000762939453,73.14305199318873,-725.4729337584973,3.886118021607032,3.773500001430512,3.9602857249123713,4.397353261735016,4.314008827893163,4.190388525241593,3.899103876694659,4.067606556071465,4.159333364168803,4.216624502446408,4.373226089402089,4.3339153459111195,0.2393398485270097,0.1951570010682659,0.0441828474587438,27.858656372780192,21.42857142857143,3.780396466578336,3.461269280780652,0.2713396718983007,6.671221310954247,75.60683140830042,11285300.0,-1964371.0748669307,-0.0061400648180925,4.293333212534587,61518688.71388786,1.9009565030881084,985.3211822685288
BCBP,"BCB Bancorp, Inc. (NJ)",9.0,9.5,target raised by,Neutral,Neutral,2025-07-31 00:30:08,0.0,0.0,0.0,0.0,0.5,0.0555555555555555,2025,7,31,Thursday,3,3,2025-07-31 00:30:08,43.6620657404635,14.06629431903465,-89.33335401288038,-4.347828020902846,-0.3728723526000976,53.907164550067975,-2604.346101226814,8.470455867009651,8.647200775146485,8.523867820558095,8.361112205703536,8.397438982394974,8.510638733401018,8.635703822830026,8.736056592954458,8.500504811604818,8.314732938267833,8.559646008848384,8.42053700623547,0.0013870747540263,0.0782059311913352,-0.0768188564373089,21.028465740183595,100.0,8.641829372993364,8.942120011761723,0.2438535153718149,3.039980599777232,32.900903874890176,625200.0,378424.132087006,0.0310589667736861,8.196646487260091,488152.1178819973,-16.01692239943261,1009.926138782752
DEFT,DeFi Technologies,5.5,5.5,reiterated by,Buy,Buy,2025-09-28 00:30:11,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,28,Sunday,6,3,2025-09-28 00:30:11,40.35817890556558,34.6323570717657,-89.99999364217123,-13.441952503521408,-0.3299999237060547,37.492720801259445,-677.002879790371,2.372733549970593,2.3154999852180485,2.389619040489197,2.5384562946914073,2.418282400159141,2.3531038641053614,2.38001662364634,2.497029901613036,2.516166671117147,2.286188045401549,2.6319212693228864,2.4599222356620425,-0.0158118893014829,-0.0098362992016451,-0.0059755900998377,21.19672955618128,0.0,2.343875456358325,2.8743315044273388,0.2073970562499444,10.95265030416586,51.86919026072332,-50544900.0,-70573425.12957178,-0.2393124580570612,2.1516666412353516,-514616917.2385776,0.1001968334322693,964.133912661902
LAMR,Lamar Advertising,122.0,119.0,target lowered by,Equal Weight,Equal Weight,2025-08-12 00:30:05,0.0,0.0,0.0,0.0,-3.0,-0.0245901639344262,2025,8,12,Tuesday,1,3,2025-08-12 00:30:05,39.16358495702997,14.15613587925798,-72.71364419236957,-5.828514910850321,-7.170204162597656,46.862386731341,-3264.2173482426133,120.36642617431444,121.62931213378909,120.4240954444522,118.27873189587612,117.4263264700292,119.29717533302237,119.89791969162292,119.18578391421636,120.77056528727212,116.70352157816788,117.04565148942238,118.27484073682626,-1.082716155758817,-0.0064104782453108,-1.076305677513506,20.795194804898905,92.85714285714286,118.5665669172576,123.0684353611098,2.7786147559993823,2.625288144913728,29.165385612110605,793500.0,-262051.53813040655,-0.18875094472292,115.25332457484896,-11328921.00544276,-214.83899544042433,1008.497843087
TRIN,Trinity Capital,13.0,13.5,reiterated by,Underweight,Underweight,2025-08-13 00:30:07,-2.0,-2.0,0.0,0.0,0.5,0.0384615384615384,2025,8,13,Wednesday,2,3,2025-08-13 00:30:07,80.372708159064,94.94658938884254,-2.840913214906726,7.754018338496154,1.122699737548828,78.78798229291841,-3238.464939888529,14.744167067698283,14.702513027191165,14.86713854017712,15.239828479981524,15.37646463682032,15.209680597268546,14.772873408501365,15.120215697667009,14.92350368499756,15.345449359480234,15.473442445654513,15.240162179857318,0.3615537708232832,0.2785851732191794,0.0829685976041038,38.189866825598074,21.42857142857143,14.48867662121275,14.717998338102266,0.2468284645536655,1.6820374815598669,76.84374207371884,1675400.0,3086824.841816658,0.1497837005798185,15.540343763512851,14780568.70641579,1.7426271774524926,1005.9792478530766
AMP,Ameriprise Financial,525.0,525.0,initiated by,Market Perform,Market Perform,2025-10-06 00:30:13,0.0,0.0,0.0,0.0,0.0,0.0,2025,10,6,Monday,0,4,2025-10-06 00:30:13,47.63219982816811,45.04575971385112,-48.17551309979468,-0.1112524899396192,-0.54998779296875,59.41030980751706,-10462.545187787951,494.7054717334743,492.4890014648438,492.4420975458055,492.8847214973746,490.8890654973476,489.7164451661488,491.86580439727857,498.78764992808493,493.3770039876302,492.3885402789296,489.9097309301704,491.8086518214582,-3.549951595884295,-4.414635247146492,0.8646836512621974,14.664628493022509,78.57142857142857,483.32674342041014,514.199257267901,9.193215478898743,1.7897271288278014,45.751516075148864,148600.0,1231163.456920498,-0.0125469404406733,492.9100036621094,-7291331.725958847,1159.0450144446856,999.5439932698368
RY,Royal Bank Of Canada,140.0,162.0,target raised by,Buy,Buy,2025-08-31 00:30:05,2.0,2.0,0.0,0.0,22.0,0.1571428571428571,2025,8,31,Sunday,6,3,2025-08-31 00:30:05,79.35545469269024,85.45849738876969,-16.309009127989405,6.545487366397512,8.930007934570312,55.41189805121576,-2878.952282749126,137.55283931111575,136.43649978637697,138.59390433175224,141.92802339496035,143.39797942512757,141.5400538241071,137.30221835568474,141.28354725621656,138.5806660970052,143.49396740457286,143.40165779447378,142.05584108754263,3.251191824248451,2.268459252169114,0.9827325720793372,46.19091722634674,0.0,140.25440368652343,138.65181002609086,1.8579912151804665,1.5235237528960428,76.76292674333415,18554400.0,14832138.191650515,0.3113079391648501,145.40999857584634,31064653.794790328,158.36827986364236,1003.3624397280672
MODG,Topgolf Callaway Brands,7.0,9.5,reiterated by,Neutral,Neutral,2025-08-12 00:30:05,0.0,0.0,0.0,0.0,2.5,0.3571428571428571,2025,8,12,Tuesday,1,3,2025-08-12 00:30:05,48.72238075578034,22.0961600849844,-67.41073139164087,-9.34580022335587,-0.9000005722045898,45.91288825560306,-1412.919685706922,8.924475399859016,9.17699999809265,9.020714278448196,8.562085744890814,8.698428993318272,9.008666732266043,9.150179984942524,8.932165288958446,8.818333339691161,8.676886931709621,8.435808844397059,8.655044932981042,0.0295770606743612,0.1810003232057266,-0.1514232625313653,29.979990106444784,92.85714285714286,8.103600406646729,9.966646659237352,0.6053551963204424,8.186468859991377,39.84894593207323,16221800.0,8918203.52716095,-0.043915057162469,8.573333104451498,137608129.48839784,-3.1491708417567112,989.6641526401528
HONE,HarborOne Bancorp,12.0,13.0,target raised by,Neutral,Neutral,2025-07-28 00:30:06,0.0,0.0,0.0,0.0,1.0,0.0833333333333333,2025,7,28,Monday,0,3,2025-07-28 00:30:06,58.87112270610878,67.89776839879156,-20.85892496146616,-0.2442986680064237,-0.029789924621582,66.44717895771386,-6983.995799271292,11.948790894844024,12.020609664916991,12.069182763780868,12.119866569403444,12.224394110699498,12.19090353072923,12.014699437447396,11.998509479266811,12.094097423553468,12.10972116676042,12.451210931764477,12.165351618005566,0.1715505123662524,0.1857702603352051,-0.0142197479689527,17.08954427439399,28.57142857142857,11.719659880661514,11.440275974239778,0.2688683354055086,2.1539881310018556,48.04121324511636,-1541500.0,1307719.4642413538,0.111464035119211,12.114619494216498,2481853.96155964,-2.2510156995884074,1001.7281406380476
ABBV,AbbVie,220.0,251.0,target raised by,Neutral,Neutral,2025-10-06 00:30:13,0.0,0.0,0.0,0.0,31.0,0.1409090909090909,2025,10,6,Monday,0,4,2025-10-06 00:30:13,60.538985412369584,60.727130676428935,-53.14431062981444,3.4143517679426445,7.5456085205078125,38.16181009254132,-2304.377385958869,222.63404410190125,221.5945022583008,225.20443209693548,232.9965224869633,232.9551661754416,231.2211630964231,223.9219240995544,226.79896264734447,227.00880584716796,230.89736025017035,232.16750821530468,231.2835083790641,6.590519049074885,5.910391285290125,0.6801277637847605,42.99037843030974,0.0,219.47580469710417,219.57217604989063,5.136926979105669,2.6217635964098016,58.301099994393205,50391700.0,34852494.8922102,0.0980669785310798,228.70458047805732,160787465.51253748,108.76112288443171,1000.8539927295972
PFG,Principal Financial Group,75.0,77.0,target set by,Underweight,Underweight,2025-08-19 00:30:05,-2.0,-2.0,0.0,0.0,2.0,0.0266666666666666,2025,8,19,Tuesday,1,3,2025-08-19 00:30:05,52.680467924908534,56.30046369728084,-14.081244325807871,3.2580101842676132,2.45587158203125,60.38079052975997,-3513.12865397599,77.15088569913397,77.13623542785646,76.69325343540737,76.74136281793767,76.47312568248661,76.67406186182632,77.01119495445555,77.30340550125129,76.61007029215494,77.25941378928925,74.88796944448292,76.64138003294569,-0.3050086619525984,-0.4589117836484514,0.1539031216958529,13.064459273780122,14.28571428571429,78.18612966037004,80.57780622448772,1.474507263601284,1.759611171343597,58.5621026234632,4288000.0,-227302.2306786577,-0.0052157626291571,77.70663267577125,-4720507.863363701,5.042078909975762,1010.5438990246872
LAZ,Lazard,60.0,58.0,target lowered by,Outperform,Outperform,2025-10-25 00:30:05,2.0,2.0,0.0,0.0,-2.0,-0.0333333333333333,2025,10,25,Saturday,5,4,2025-10-25 00:30:05,39.72883487202994,40.022411915568355,-60.25918513800879,2.8207238965832873,1.3499984741210938,48.09667705998365,-2925.129286578583,50.49013648802089,50.15199966430664,49.63009503682455,49.370439733860294,48.554427746614024,48.85476427509878,50.09904372186185,49.54377109691743,49.54000002543131,49.449795572936765,46.682207179783845,49.10773534385458,-1.1335564233785362,-1.2411934921382062,0.1076370687596699,36.237205519685624,92.85714285714286,47.8232141176375,53.65712188084746,1.7984506467126278,3.942292214421935,41.909479372606064,-7722600.0,-92773.5358528475,-0.1773157883932634,49.5533332824707,-7211636.556498469,-28.759088534122757,993.1641494007868
NBHC,National Bank,46.0,46.0,upgraded by,Market Perform,Outperform,2025-09-19 00:30:05,0.0,2.0,2.0,2.0,0.0,0.0,2025,9,19,Friday,4,3,2025-09-19 00:30:05,57.67106718064397,74.58046019157099,-36.61088801067477,2.1211295520094913,0.8299980163574219,45.690483937429896,-5372.894113440949,38.889748620890074,39.03669395446778,39.066521036057246,38.88414902228814,39.616672943995354,39.36693207669042,39.19744464646588,38.643581737139,38.63799997965495,39.74456210166031,40.32447716153083,39.19940296670727,0.382105716875138,0.2552141177651563,0.1268915991099817,18.57013062009318,78.57142857142857,37.17380821533203,37.34604571124259,1.0407521493458216,3.1765391943398384,38.80288295341956,-1339000.0,676180.0008901524,0.0717525931850386,40.47666676839193,3268553.436763039,52.99499042505827,998.4404628895276
TRIP,TripAdvisor,14.0,14.0,initiated by,Underperform,Underperform,2025-10-01 00:30:06,-3.0,-3.0,0.0,0.0,0.0,0.0,2025,10,1,Wednesday,2,4,2025-10-01 00:30:06,34.128447753079776,7.22688155548845,-99.550572922549,-15.018912221879772,-2.780000686645508,28.51089087217967,-1809.78533166586,17.41171478626126,17.737499809265138,17.526095099676226,16.920325823449463,16.81976442672375,17.16397934858098,17.866867720367107,17.137595148951767,17.47433325449626,16.44795231391049,17.245581294032316,16.95245099225303,-0.2693584140762795,0.008099726175448,-0.2774581402517275,25.13804296618326,100.0,17.198492238068106,18.703381364707504,0.8563588588605191,5.6506010675753,45.02605892747262,-17517500.0,-16227672.643793585,-0.1018556633793133,15.93333339691162,73493773.21255709,-5.481527164592279,979.160054418832
NRDS,NerdWallet,19.0,17.0,target lowered by,Buy,Buy,2025-08-12 00:30:05,2.0,2.0,0.0,0.0,-2.0,-0.1052631578947368,2025,8,12,Tuesday,1,3,2025-08-12 00:30:05,38.9982205347617,37.26852012821179,-51.0416739102864,-7.438794447891261,-0.7899999618530273,69.97654958448489,-1763.8751164237333,10.494606621581408,10.546999979019166,10.470428557623002,10.26305667497379,10.055979830400853,10.231761370279983,10.224652323683262,10.361713650886015,10.608999919891358,9.923614386769083,10.021259216577684,10.203093183730536,-0.2270668111565097,-0.1043455737896127,-0.1227212373668969,19.233399096139745,85.71428571428572,10.231040287017825,10.896520734696828,0.4998866895358478,6.2627108141929835,57.48155116131699,-1003700.0,3176574.995983557,0.2675002876797341,9.789999961853027,-32116362.905186843,-1.0137857674570765,1002.6308211287876
TDG,Transdigm Group,0.0,0.0,initiated by,Outperform,Outperform,2025-10-01 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,10,1,Wednesday,2,4,2025-10-01 00:30:06,48.897927740787075,61.10247374068086,-47.712063860478736,1.946776439001579,24.840087890625,52.96595197690366,-8049.526661977155,1298.5631891614876,1290.657000732422,1293.5636218843008,1300.5750526910424,1301.0557728154995,1286.5469192890882,1290.8033710931572,1315.2935320873426,1295.7326700846354,1301.613385888589,1330.8207870424712,1298.183973472973,-7.94602159866372,-14.10705809974606,6.161036501082341,27.42269165623346,28.57142857142857,1264.8122122213113,1349.8732958590342,27.96318644617762,2.110712270840292,71.98804580746749,1752300.0,1346614.1915222283,0.1050605541257465,1310.7233479817708,-17470593.632140458,6963.419051624227,996.1304554926452
BOX,BOX,42.0,36.0,initiated by,Buy,Neutral,2025-09-19 00:30:05,2.0,0.0,-2.0,2.0,-6.0,-0.1428571428571428,2025,9,19,Friday,4,3,2025-09-19 00:30:05,47.285275954004526,31.619042844183248,-81.71439221452137,-1.830949894528337,-0.6000022888183594,56.74169466294335,-6028.025005197394,32.44622912110749,32.47150011062622,32.594095211937315,32.657409504399155,32.68264510502575,32.57145327724583,32.41802334808064,32.47301064654986,32.674333063761395,32.388412056313875,33.23027627601247,32.6416016990353,0.0820035459868933,0.1215977080873446,-0.0395941621004513,18.442689316035885,7.14285714285714,32.00529200909937,30.869288963229188,0.6486239691686937,1.8283884837500728,39.829966221428975,-1623900.0,-2316773.707674504,0.0180991547210471,32.199999491373696,2508724.576269034,-1.0624134885156615,997.1453425597978
ORGO,Organogenesis,7.0,7.0,reiterated by,Buy,Buy,2025-09-28 00:30:11,2.0,2.0,0.0,0.0,0.0,0.0,2025,9,28,Sunday,6,3,2025-09-28 00:30:11,35.705547473802696,35.846010173383135,-86.52173994168902,-16.83569883583057,-0.8299999237060547,44.48632988611294,-2246.9912455745825,4.727995012373722,4.823000001907349,4.7382856936681845,4.621378328645384,4.570122776980873,4.678879861590889,4.7596933312853835,4.634696120016822,4.707999976476033,4.502212816628273,4.612072731521068,4.592684379839449,-0.0538761070457454,0.0126066493652482,-0.0664827564109937,13.598171413714091,100.0,4.519600219726563,5.199132154137624,0.2670220710866939,7.092050924919583,35.149532936520664,3777200.0,-634968.1629905265,-0.1948343834117877,4.241666555404663,-11792590.924241982,-1.5755125971101571,1030.9148131229574
SNV,Synovus Financial,65.0,58.0,target lowered by,Overweight,Overweight,2025-10-02 00:30:09,2.0,2.0,0.0,0.0,-7.0,-0.1076923076923077,2025,10,2,Thursday,3,4,2025-10-02 00:30:09,36.97812242562423,17.81547877719844,-87.71278129530353,-7.599307307791528,-3.959999084472656,18.291956878450357,-3737.073444415232,49.86814823700471,50.3026559829712,49.82936717442104,48.8572371828814,48.950557850464165,49.33177492766201,50.35184829122774,49.447945864436825,49.538333384195965,48.76610573801463,49.64800645415125,48.91072967668098,-0.5263479162850828,-0.2849614933619807,-0.241386422923102,15.569590413847331,100.0,49.800106408317575,51.71355034935522,1.2081340525471655,2.424364724187787,18.512388842170154,-27031300.0,12750140.541295435,-0.1364354818977491,48.1933339436849,-126022842.18253496,-10.498807875702326,991.6602141892567
CE,Celanese,47.0,53.0,upgraded by,Neutral,Buy,2025-10-03 00:30:06,0.0,2.0,2.0,2.0,6.0,0.1276595744680851,2025,10,3,Friday,4,4,2025-10-03 00:30:06,53.03363808720787,56.01850513924611,-32.954560779893846,2.011298055702684,0.8899993896484375,57.122460179281696,-1700.689993090769,43.94523849356471,43.90199966430664,43.29390445890881,41.6082940076027,42.89429211562879,42.40257746702159,43.85206129993529,42.98075730096685,41.83399976094564,43.93062164569426,44.195512784750555,42.1021683677147,-1.1233536609753116,-1.5240960243865935,0.4007423634112819,18.85739317184791,64.28571428571428,39.942801818847656,46.06203183279344,1.9098125910690036,3.9346444335464255,45.76381278681354,-24440800.0,-12227087.968142614,-0.278557650265502,45.26333363850912,-178944312.27696794,4.527093081243196,997.6806165798496
PII,Polaris,35.0,60.0,upgraded by,Sell,Neutral,2025-10-02 00:30:09,-2.0,0.0,2.0,2.0,25.0,0.7142857142857143,2025,10,2,Thursday,3,4,2025-10-02 00:30:09,66.15587858860336,82.48438050854978,-10.052347237340095,9.779176098950009,5.579998016357422,66.14897711663116,-3191.71482313566,58.254111400074386,58.388000106811525,58.52100018092565,59.01417511448715,59.98881831571655,59.8649125890044,58.19581581236329,57.57455403576695,58.0810001373291,60.73867307045849,58.775689746883245,59.51968024931747,1.2743548472352444,0.9558089024026672,0.3185459448325771,23.65915403420222,35.71428571428571,54.20379928588867,55.75728945113541,2.316041780460204,3.694179291896708,52.66639759063474,4364100.0,8898077.356721334,0.1450166425781939,62.686665852864586,126815443.27512708,77.39215384355944,1000.8617755968916
RYTM,Rhythm Pharmaceuticals,100.0,110.0,target raised by,Buy,Buy,2025-09-30 00:30:08,2.0,2.0,0.0,0.0,10.0,0.1,2025,9,30,Tuesday,1,3,2025-09-30 00:30:08,56.87816184121033,70.86401557215024,-23.96315389314453,5.732082404969846,5.474998474121094,59.40088163985929,-3248.712853973351,98.76525623655633,99.03924980163576,98.60642830984932,98.83292772070152,98.7962986885134,99.7942319933163,98.89105732692302,98.77028122407302,98.39066670735676,99.98109020747954,96.40373503466267,99.30526894080704,0.7663434852165096,0.7896589504831804,-0.0233154652666707,18.664797524579207,21.42857142857143,95.76252841345742,95.47579942174292,3.1282431467096243,3.004037144521503,56.83991269537478,7369500.0,5113099.950748905,-0.1811509004781648,101.54166666666669,180406950.8518436,-96.31611116606246,1002.0952722644744
RGLD,Royal Gold,194.0,246.0,target raised by,Sector Outperform,Sector Outperform,2025-10-24 00:30:05,2.0,2.0,0.0,0.0,52.0,0.268041237113402,2025,10,24,Friday,4,4,2025-10-24 00:30:05,39.80506840848579,11.915930292593242,-90.37560066786642,-6.170617537242289,-12.0,29.747764587079104,-2268.726034444762,192.1449302290549,196.037264251709,193.44798511323475,187.81004351132876,187.0973480601948,192.11077463958577,195.34799549819317,193.8430657440547,193.67133127848308,185.2043568624607,186.26709951531456,189.5565486478545,-0.7634967563345185,2.1083150619140714,-2.87181181824859,22.99079176523307,85.71428571428572,191.25883065185548,203.47776353177804,6.612160296670633,3.846593606059144,33.15720749987691,10726800.0,986650.53389445,-0.2312774226962282,182.413330078125,-10232813.65713789,-613.2086722864032,1014.293186503299
CNTB,Connect Biopharma,7.0,7.0,reiterated by,Buy,Buy,2025-08-14 00:30:06,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,14,Thursday,3,3,2025-08-14 00:30:06,57.808513280664464,74.01753690250834,-40.789466667043115,6.435649290515874,0.1300001144409179,42.53153016068856,-1161.3215713736704,2.013693256713218,2.1114999890327453,2.1299523660114836,2.1758151292078423,2.2757699991365596,2.293133112082926,2.141358912688978,2.0554535307234896,2.125999983151754,2.1985143996577423,2.3628900078652006,2.2309103225242466,0.1984785937948687,0.2218358877894826,-0.0233572939946138,35.92817981799307,14.28571428571429,1.715200047492981,1.4911979246579947,0.2826288829678519,14.124181030478038,56.01396958609803,2537800.0,1972217.8656626816,-0.0046825320657712,2.187000036239624,64225564.87762696,-1.7632268291646829,990.904169128268
AEYE,Audioeye,20.0,19.0,target lowered by,Buy,Buy,2025-08-09 00:30:09,2.0,2.0,0.0,0.0,-1.0,-0.05,2025,8,9,Saturday,5,3,2025-08-09 00:30:09,36.03072647316278,4.567024164946038,-96.26718018935588,-30.392830998266295,-4.409999847412109,23.998989525161857,-1416.53459085666,12.161896004146842,12.319000053405762,12.2852381842477,12.015865909568156,11.794643197440314,12.012632144199216,12.264568195637288,12.2566848566603,12.34233341217041,11.318041388265565,12.298703048255309,11.834659369106536,-0.179503246832672,0.0542999987252886,-0.2338032455579606,20.81426617314511,100.0,12.377898245929064,13.62637649514035,0.8953061677170562,9.867799985015116,47.51128007102133,-1088300.0,-1414284.3799079503,-0.289771156113376,10.4366668065389,-5723446.217196571,-75.65724575123319,977.1827067201788
FENC,Adherex Technologies,13.0,13.0,reiterated by,Buy,Buy,2025-08-22 00:30:04,2.0,2.0,0.0,0.0,0.0,0.0,2025,8,22,Friday,4,3,2025-08-22 00:30:04,54.18739307500851,50.37036471896701,-33.77778795030382,3.961583754243736,0.3299999237060547,49.4742168233651,-2330.989862914113,8.388291323138757,8.359499883651734,8.36014271690732,8.335665185688894,8.296037368609463,8.34505800166319,8.434229137632501,8.409192434331215,8.395333131154379,8.358290695457523,8.125747061744102,8.422680196642622,-0.0321662669868416,-0.0223460374748415,-0.0098202295120001,22.199923901341645,57.14285714285714,7.881679945373535,7.745203960880593,0.5132138227323889,6.350072684925215,59.98132367961573,-603600.0,246846.71279626832,0.0456200930323856,8.498332977294922,859176.992818938,-50.54318308415573,1005.3098891781494
NBIX,Neurocrine Biosciences,161.0,170.0,target raised by,Buy,Buy,2025-09-23 00:30:07,2.0,2.0,0.0,0.0,9.0,0.0559006211180124,2025,9,23,Tuesday,1,3,2025-09-23 00:30:07,64.0602521828773,89.88166377177177,-11.019077923539133,1.5467821015894352,2.2299957275390625,56.923453079667134,-3757.848416154872,141.65557396062286,141.9354995727539,143.21342715308782,144.90946719941635,146.5949711097546,145.69697954205284,141.87198284087205,140.64444535730516,143.06466471354167,145.55743737417313,149.01528310203932,145.38624218120265,3.03099281039556,2.8528131002429693,0.1781797101525906,34.24196187241679,0.0,138.970935159354,137.83807324734858,3.0866336430584216,2.0143139987138157,71.79061974289964,9021600.0,7433428.845164936,0.2881093213608919,146.54332987467447,418988.85230644327,243.28586780654933,1009.0705339253564
