target_from,target_to,rating_from_score,rating_to_score,rating_delta,rating_magnitude,target_delta,target_growth,relative_growth,last_close
44.0,52.0,2,2,0,0,8.0,0.1818181818181818,4.171168704895051,47.97999954223633
5.25,5.25,2,2,0,0,0.0,0.0,-1.0,3.5799999237060547
28.0,26.0,2,2,0,0,-2.0,-0.0714285714285714,-2.292792176223763,15.682412147521973
30.0,30.0,2,2,0,0,0.0,0.0,-1.0,4.25
9.0,9.5,0,0,0,0,0.5,0.0555555555555555,-0.6768019559440592,8.203187942504883
5.5,5.5,2,2,0,0,0.0,0.0,-1.0,2.125
122.0,119.0,0,0,0,0,-3.0,-0.0245901639344262,-2.9391882643356446,115.84919738769533
13.0,13.5,-2,-2,0,0,0.5,0.0384615384615384,-0.6768019559440592,15.601640701293944
525.0,525.0,0,0,0,0,0.0,0.0,-1.0,493.80999755859375
140.0,162.0,2,2,0,0,22.0,0.1571428571428571,13.220713938461392,145.36000061035156
7.0,9.5,0,0,0,0,2.5,0.3571428571428571,0.6159902202797036,8.729999542236328
105.0,105.0,0,2,2,2,0.0,0.0,-1.0,97.4800033569336
12.0,13.0,0,0,0,0,1.0,0.0833333333333333,-0.3536039118881185,12.16426944732666
220.0,251.0,0,0,0,0,31.0,0.1409090909090909,19.038278731468324,228.54241943359375
75.0,77.0,-2,-2,0,0,2.0,0.0266666666666666,0.2927921762237629,77.83536529541016
60.0,58.0,2,2,0,0,-2.0,-0.0333333333333333,-2.292792176223763,49.209999084472656
46.0,46.0,0,2,2,2,0.0,0.0,-1.0,39.959999084472656
14.0,14.0,-3,-3,0,0,0.0,0.0,-1.0,15.729999542236328
19.0,17.0,2,2,0,0,-2.0,-0.1052631578947368,-2.292792176223763,9.829999923706056
0.0,0.0,2,2,0,0,0.0,0.0,-1.0,1300.800048828125
42.0,36.0,2,0,-2,2,-6.0,-0.1428571428571428,-4.878376528671289,32.16999816894531
7.0,7.0,2,2,0,0,0.0,0.0,-1.0,4.099999904632568
65.0,58.0,2,2,0,0,-7.0,-0.1076923076923077,-5.524772616783171,48.150001525878906
47.0,53.0,0,2,2,2,6.0,0.1276595744680851,2.8783765286712883,45.13999938964844
35.0,60.0,-2,0,2,2,25.0,0.7142857142857143,15.159902202797037,62.63999938964844
100.0,110.0,2,2,0,0,10.0,0.1,5.4639608811188145,100.98999786376952
194.0,246.0,2,2,0,0,52.0,0.268041237113402,32.61259658181784,182.47000122070312
7.0,7.0,2,2,0,0,0.0,0.0,-1.0,2.1500000953674316
20.0,19.0,2,2,0,0,-1.0,-0.05,-1.6463960881118815,10.100000381469728
13.0,13.0,2,2,0,0,0.0,0.0,-1.0,8.65999984741211
35.0,37.0,2,2,0,0,2.0,0.0571428571428571,0.2927921762237629,28.727781295776367
161.0,170.0,2,2,0,0,9.0,0.0559006211180124,4.817564793006933,146.39999389648438
39.0,41.0,2,2,0,0,2.0,0.0512820512820512,0.2927921762237629,33.060001373291016
9.0,9.0,2,2,0,0,0.0,0.0,-1.0,3.490000009536743
18.0,18.0,2,2,0,0,0.0,0.0,-1.0,8.109999656677246
19.5,21.0,2,2,0,0,1.5,0.0769230769230769,-0.0304058678321778,16.392581939697266
115.0,117.0,2,2,0,0,2.0,0.017391304347826,0.2927921762237629,112.5460433959961
50.0,50.0,2,2,0,0,0.0,0.0,-1.0,41.619998931884766
27.0,23.0,0,0,0,0,-4.0,-0.1481481481481481,-3.585584352447526,20.260000228881836
125.0,140.0,2,2,0,0,15.0,0.12,8.695941321678221,119.95999908447266
240.0,240.0,2,2,0,0,0.0,0.0,-1.0,185.5399932861328
1.3,1.45,0,0,0,0,0.1499999999999999,0.1153846153846153,-0.903040586783218,1.3600000143051147
3.0,6.0,2,2,0,0,3.0,1.0,0.9391882643356444,1.3200000524520874
129.0,144.0,2,2,0,0,15.0,0.1162790697674418,8.695941321678221,124.6999969482422
6.0,6.0,2,2,0,0,0.0,0.0,-1.0,1.309999942779541
330.0,380.0,2,2,0,0,50.0,0.1515151515151515,31.319804405594073,342.3500061035156
6.0,5.0,2,2,0,0,-1.0,-0.1666666666666666,-1.6463960881118815,3.9800000190734863
75.0,60.0,2,2,0,0,-15.0,-0.2,-10.69594132167822,16.309999465942383
9.0,9.0,2,2,0,0,0.0,0.0,-1.0,3.3399999141693115
3.0,3.0,2,2,0,0,0.0,0.0,-1.0,1.7300000190734863
75.0,62.0,2,2,0,0,-13.0,-0.1733333333333333,-9.40314914545446,45.80089569091797
22.0,22.0,2,2,0,0,0.0,0.0,-1.0,7.0
60.0,56.0,2,2,0,0,-4.0,-0.0666666666666666,-3.585584352447526,44.130001068115234
16.0,13.0,2,2,0,0,-3.0,-0.1875,-2.9391882643356446,6.829999923706055
263.0,263.0,0,0,0,0,0.0,0.0,-1.0,232.58999633789065
20.0,20.0,0,2,2,2,0.0,0.0,-1.0,16.75
75.0,75.0,2,2,0,0,0.0,0.0,-1.0,11.75
9.0,9.0,2,2,0,0,0.0,0.0,-1.0,4.349999904632568
40.0,40.0,2,2,0,0,0.0,0.0,-1.0,26.319438934326172
27.5,27.5,2,2,0,0,0.0,0.0,-1.0,25.520000457763672
326.0,332.0,2,2,0,0,6.0,0.0184049079754601,2.8783765286712883,184.32000732421875
130.0,130.0,2,2,0,0,0.0,0.0,-1.0,102.6999969482422
480.0,480.0,2,2,0,0,0.0,0.0,-1.0,384.8699951171875
95.0,90.0,2,2,0,0,-5.0,-0.0526315789473684,-4.231980440559408,75.38999938964844
33.0,36.0,0,0,0,0,3.0,0.0909090909090909,0.9391882643356444,34.189998626708984
47.0,46.0,2,2,0,0,-1.0,-0.0212765957446808,-1.6463960881118815,33.3618049621582
16.0,16.0,0,2,2,2,0.0,0.0,-1.0,12.699999809265137
270.0,270.0,2,2,0,0,0.0,0.0,-1.0,217.5099945068359
29.0,28.0,0,0,0,0,-1.0,-0.0344827586206896,-1.6463960881118815,25.949596405029297
192.0,188.0,0,0,0,0,-4.0,-0.0208333333333333,-3.585584352447526,160.97999572753906
277.0,293.0,0,0,0,0,16.0,0.0577617328519855,9.342337409790105,281.94000244140625
60.0,60.0,0,0,0,0,0.0,0.0,-1.0,60.27000045776367
20.0,20.0,2,2,0,0,0.0,0.0,-1.0,8.329999923706055
215.0,240.0,2,2,0,0,25.0,0.1162790697674418,15.159902202797037,215.1896514892578
8.0,8.0,2,2,0,0,0.0,0.0,-1.0,4.829999923706055
50.0,50.0,2,2,0,0,0.0,0.0,-1.0,27.739999771118164
6.0,6.0,2,2,0,0,0.0,0.0,-1.0,1.7300000190734863
52.0,55.0,2,2,0,0,3.0,0.0576923076923076,0.9391882643356444,42.37574768066406
20.0,20.0,2,2,0,0,0.0,0.0,-1.0,4.75
27.0,25.0,0,0,0,0,-2.0,-0.074074074074074,-2.292792176223763,19.86000061035156
18.0,18.0,2,0,-2,2,0.0,0.0,-1.0,17.010000228881836
390.0,445.0,2,2,0,0,55.0,0.141025641025641,34.55178484615348,402.2999877929687
30.0,30.0,2,0,-2,2,0.0,0.0,-1.0,31.459999084472656
50.0,50.0,2,2,0,0,0.0,0.0,-1.0,41.36000061035156
5.0,5.0,2,2,0,0,0.0,0.0,-1.0,2.7899999618530273
28.0,32.0,0,0,0,0,4.0,0.1428571428571428,1.5855843524475255,30.489999771118164
55.0,60.0,0,0,0,0,5.0,0.0909090909090909,2.2319804405594073,63.85118865966797
95.0,95.0,2,2,0,0,0.0,0.0,-1.0,73.56999969482422
5.0,7.0,2,2,0,0,2.0,0.4,0.2927921762237629,4.3612165451049805
185.0,190.0,0,0,0,0,5.0,0.027027027027027,2.2319804405594073,170.90330505371094
74.0,74.0,2,2,0,0,0.0,0.0,-1.0,67.82499694824219
192.0,194.0,0,0,0,0,2.0,0.0104166666666666,0.2927921762237629,176.82000732421875
20.0,27.0,2,2,0,0,7.0,0.35,3.52477261678317,19.299999237060547
14.0,14.0,-3,-3,0,0,0.0,0.0,-1.0,11.550000190734863
17.0,22.0,0,0,0,0,5.0,0.2941176470588235,2.2319804405594073,22.63999938964844
65.0,65.0,2,2,0,0,0.0,0.0,-1.0,58.529998779296875
34.0,35.0,2,2,0,0,1.0,0.0294117647058823,-0.3536039118881185,33.119998931884766
2.0,2.5,0,0,0,0,0.5,0.25,-0.6768019559440592,2.180000066757202
60.0,70.0,0,0,0,0,10.0,0.1666666666666666,5.4639608811188145,71.91000366210938
72.0,81.0,0,0,0,0,9.0,0.125,4.817564793006933,81.66000366210938
24.0,27.0,0,-2,-2,2,3.0,0.125,0.9391882643356444,31.0
104.0,96.0,-2,-2,0,0,-8.0,-0.0769230769230769,-6.171168704895052,100.88999938964844
5.0,5.0,2,2,0,0,0.0,0.0,-1.0,3.0999999046325684
32.0,34.0,0,0,0,0,2.0,0.0625,0.2927921762237629,30.999025344848633
62.0,64.0,2,2,0,0,2.0,0.032258064516129,0.2927921762237629,56.47999954223633
23.0,23.0,2,2,0,0,0.0,0.0,-1.0,18.079999923706055
122.0,122.0,2,2,0,0,0.0,0.0,-1.0,96.0
43.0,40.0,2,2,0,0,-3.0,-0.0697674418604651,-2.9391882643356446,36.97999954223633
